onsets,isbeat
32,0
328,0
364,0
400,0
439,0
473,0
510,0
547,0
585,0
604,0
620,1
640,0
658,0
680,0
694,1
706,0
720,0
732,0
737,0
750,1
768,0
789,1
805,0
842,1
860,0
879,1
891,0
896,0
905,0
916,1
933,0
953,1
976,0
990,1
1007,0
1028,0
1045,1
1063,0
1080,0
1084,0
1101,0
1128,0
1137,1
1156,0
1170,1
1174,1
1192,0
1199,0
1211,1
1231,0
1248,1
1268,0
1285,1
1304,0
1321,1
1332,0
1340,0
1359,1
1379,0
1385,0
1396,1
1412,0
1431,1
1450,0
1469,1
1482,0
1488,0
1506,1
1527,0
1545,1
1562,0
1580,1
1601,0
1617,1
1636,0
1648,0
1656,1
1689,1
1695,0
1714,0
1726,0
1732,1
1749,0
1763,1
1779,0
1788,0
1798,1
1821,0
1839,1
1859,0
1875,1
1893,0
1912,1
1930,0
1947,1
1962,0
1968,0
1988,1
2009,0
2024,1
2060,1
2073,0
2085,0
2097,0
2108,0
2117,1
2127,0
2136,0
2153,0
2171,1
2189,0
2207,1
2224,0
2245,1
2256,0
2266,0
2283,1
2302,0
2318,1
2333,0
2338,0
2355,1
2377,0
2393,1
2412,0
2432,0
2457,0
2466,0
2483,0
2498,0
2504,0
2522,0
2539,0
2561,0
2569,0
2578,0
2614,1
2631,0
2637,0
2650,1
2661,0
2670,0
2677,0
2687,1
2709,0
2726,0
2762,0
2780,0
2799,0
2816,0
2827,0
2834,0
2861,0
2872,1
2902,0
2910,0
2938,0
2946,0
2965,0
2974,0
2980,1
3001,0
3021,0
3075,0
3086,0
3131,1
3147,0
3159,0
3172,0
3193,0
3223,1
3242,0
3261,0
3280,1
3300,0
3318,0
3334,0
3353,1
3376,0
3391,0
3407,0
3427,1
3455,1
3467,0
3482,1
3517,1
3540,0
3570,1
3593,0
3611,0
3648,0
3665,0
3677,0
3720,1
3749,0
3759,0
3782,1
3795,0
3821,0
3831,0
3853,0
3872,0
3890,0
3907,0
3920,0
3925,0
3944,0
3964,0
3980,1
4000,0
4007,0
4018,1
4058,0
4074,0
4091,0
4109,0
4130,0
4149,0
4164,1
4174,0
4183,0
4202,1
4211,0
4223,0
4239,0
4255,0
4259,0
4282,0
4294,0
4309,1
4331,0
4349,1
4368,0
4386,1
4406,0
4423,1
4435,0
4447,0
4459,0
4479,0
4497,0
4507,0
4516,0
4534,1
4551,0
4571,0
4578,0
4589,1
4607,0
4626,1
4645,0
4655,0
4665,0
4681,0
4701,1
4718,0
4743,0
4756,1
4774,0
4793,1
4826,1
4843,0
4863,0
4868,0
4880,0
4885,0
4903,0
4915,0
4924,0
4938,0
4953,0
4976,0
4993,0
5014,0
5025,1
5034,0
5038,0
5051,0
5071,1
5088,0
5123,1
5138,0
5161,0
5174,0
5180,0
5189,0
5199,0
5212,0
5236,0
5251,0
5271,1
5294,0
5310,1
5346,1
5355,0
5365,0
5374,0
5383,0
5419,1
5431,0
5443,0
5459,0
5468,0
5488,1
5564,1
5580,0
5589,0
5600,0
5615,1
5627,0
5640,0
5666,0
5679,0
5699,0
5714,1
5728,0
5757,0
5770,0
5787,0
5809,0
5826,0
5852,0
5863,1
5877,0
5881,0
5889,0
5899,1
5914,0
5926,0
5936,1
5956,0
5974,1
6010,1
6024,0
6029,0
6037,0
6052,0
6065,1
6075,0
6084,0
6093,0
6104,1
6121,0
6133,0
6145,0
6158,1
6174,0
6182,0
6194,0
6206,0
6219,0
6231,0
6244,0
6258,0
6268,0
6284,0
6294,0
6306,1
6321,0
6333,1
6353,0
6361,0
6377,0
6404,0
6416,0
6433,0
6442,0
6454,0
6482,0
6490,0
6509,0
6518,0
6523,1
6546,0
6564,0
6585,0
6600,1
6617,0
6637,1
6655,0
6672,1
6687,0
6693,0
6708,1
6713,1
6734,0
6749,1
6769,0
6785,1
6797,0
6810,0
6822,0
6833,0
6842,1
6852,0
6861,0
6878,0
6896,1
6914,0
6932,1
6949,0
6970,1
6981,0
6991,0
7007,1
7027,0
7043,1
7058,0
7063,0
7080,1
7102,0
7118,1
7137,0
7156,0
7182,0
7191,0
7208,0
7229,0
7247,1
7258,0
7265,0
7286,0
7294,0
7305,0
7318,0
7339,0
7356,0
7362,0
7375,1
7386,0
7395,0
7401,0
7412,1
7434,0
7451,1
7487,0
7505,0
7523,0
7541,0
7552,0
7560,0
7586,0
7597,1
7626,0
7635,0
7663,0
7672,0
7690,0
7699,0
7705,1
7727,0
7746,0
7803,0
7810,0
7856,1
7872,0
7896,0
7918,0
7949,0
7967,0
7987,0
8005,0
8025,0
8043,0
8059,0
8078,1
8102,0
8116,0
8132,0
8152,0
8167,0
8180,1
8192,0
8207,0
8227,0
8243,0
8264,0
8295,1
8313,0
8318,0
8336,0
8373,0
8391,0
8402,0
8445,1
8484,0
8508,1
8520,0
8556,1
8578,0
8597,0
8612,0
8633,0
8645,1
8650,0
8669,0
8689,0
8707,0
8725,0
8743,1
8783,0
8799,0
8816,0
8834,0
8855,0
8874,0
8889,1
8899,0
8908,0
8927,0
8948,0
8964,0
8980,0
8984,0
9007,0
9019,0
9034,1
9056,0
9074,1
9093,0
9111,1
9130,0
9148,1
9159,0
9172,0
9184,1
9203,0
9222,0
9232,0
9241,0
9259,1
9277,0
9296,0
9303,0
9314,1
9332,0
9351,1
9360,0
9370,0
9380,0
9390,0
9406,0
9426,1
9443,0
9469,0
9481,1
9500,0
9518,1
9551,1
9568,0
9588,0
9593,0
9605,0
9610,0
9628,0
9640,0
9649,0
9663,0
9678,0
9701,0
9718,0
9738,0
9750,1
9759,0
9763,0
9776,0
9796,1
9813,0
9848,1
9863,0
9886,0
9899,0
9905,0
9913,0
9924,0
9937,0
9961,0
9975,0
9984,0
9997,1
10008,0
10019,0
10035,1
10071,1
10081,0
10089,0
10099,0
10108,1
10118,0
10130,0
10145,1
10165,0
10189,1
10200,0
10216,0
10238,0
10256,0
10274,0
10293,0
10301,0
10312,1
10334,0
10351,0
10365,1
10386,0
10403,1
10412,0
10423,0
10440,1
10459,0
10477,0
10495,1
10514,0
10532,0
10542,0
10551,0
10562,0
10572,0
10587,1
10607,0
10624,1
10650,0
10662,1
10680,0
10699,1
10708,0
10720,0
10735,1
10755,0
10779,0
10791,0
10806,1
10828,0
10846,0
10865,0
10883,0
10903,0
10919,0
10931,0
10943,0
10956,1
10976,0
10994,1
11004,0
11013,0
11031,1
11049,0
11068,0
11075,0
11086,0
11104,0
11124,0
11132,0
11141,0
11163,0
11173,0
11179,0
11198,0
11215,0
11241,0
11252,1
11271,0
11289,1
11307,0
11344,0
11362,1
11381,0
11400,1
11418,0
11436,1
11455,0
11491,0
11510,1
11528,0
11547,1
11559,0
11572,0
11585,0
11596,0
11609,0
11622,0
11633,0
11646,0
11659,0
11670,0
11683,0
11696,0
11731,1
11750,0
11768,1
11782,0
11802,0
11818,0
11830,0
11843,1
11881,0
11899,0
11917,0
11954,1
11967,0
11991,0
12027,0
12041,0
12065,0
12086,0
12102,0
12120,0
12138,1
12162,1
12176,0
12188,1
12196,0
12212,0
12248,1
12262,0
12271,0
12286,0
12329,0
12343,1
12361,0
12393,1
12410,0
12420,0
12433,1
12471,0
12489,0
12508,0
12544,0
12566,0
12581,0
12618,1
12638,0
12655,0
12677,0
12693,0
12708,0
12729,0
12748,0
12767,0
12803,0
12839,1
12854,0
12864,0
12877,1
12913,0
12926,0
12938,0
12950,0
12988,0
13023,1
13061,1
13074,0
13099,0
13134,1
13171,1
13208,1
13229,0
13246,1
13264,0
13283,1
13319,1
13356,1
13368,0
13394,1
13429,1
13467,1
13503,1
13517,0
13528,0
13544,1
13562,0
13580,0
13599,0
13614,1
13652,0
13689,0
13725,0
13762,1
13799,0
13811,0
13837,1
13856,0
13875,0
13910,1
13947,0
13958,0
13984,0
14020,1
14040,0
14057,1
14094,0
14108,0
14119,0
14132,0
